UPC,Description,Size,Category,Big_Pack_UPC,Pre_Total_Sales,Pre_Total_Units,Pre_Total_Visits,Pre_Total_HHs,Pre_HH_Pen,Pre_Spend_per_HH,Pre_Visits_per_HH,Pre_Spend_per_Visit,Pre_Units_per_Visit,Pre_Spend_per_Unit,Pre_Repeat_HHs,Pre_Repeat_Rate,Covid_Total_Sales,Covid_Total_Units,Covid_Total_Visits,Covid_Total_HHs,Covid_HH_Pen,Covid_Spend_per_HH,Covid_Visits_per_HH,Covid_Spend_per_Visit,Covid_Units_per_Visit,Covid_Spend_per_Unit,Covid_Repeat_HHs,Covid_Repeat_Rate,Pre_Loyal_Sales,Pre_Price_Sens_Sales,Covid_Loyal_Sales,Covid_Price_Sens_Sales,Pre_Ecomm_Sales,Pre_Ecomm_HHs,Pre_Ecomm_Visits,Pre_Ecomm_Units,Covid_Ecomm_Sales,Covid_Ecomm_HHs,Covid_Ecomm_Visits,Covid_Ecomm_Units
0001299322102,LACROIX PCH PEAR SPKL 8PK,8/12 FO,SPARKLING WATER,N,1388543.469999525,431816,375826,207263,1.1416926618416539,6.6994276354174405,1.8132807109807345,3.694644516344066,1.1489785166539834,3.215590598772452,59610,28.760560254362815,"","","","","","","","","","","","",935620.6599999944,163005.27000000016,"","",114275.49999999988,13517,29309,34919,"","","",""
0001111087836,KRO MOIST FLSH WIPE 2PK,84 CT,BATH TISSUE,N,438963.1700001386,156949,126497,70817,0.39009012333914106,6.1985564200705845,1.7862518886707994,3.470146880954794,1.2407329818098454,2.7968522895981405,23119,32.646116045582275,"","","","","","","","","","","","",317500.5200000011,157929.18000000008,"","",15918.560000000009,2318,4159,5952,"","","",""
0002840058986,CHEETOS CRNCH CHEESE SNCK,8.5 OZ,BAG SNACKS,N,7492699.510042043,3122013,2689865,1317796,7.258980247339293,5.685781038978752,2.0411846750179845,2.7855299466858163,1.160657876882297,2.3999578188950665,503709,38.22359454725921,8689090.390164303,3302354,2875312,1377049,7.521312631543187,6.309935514396585,2.0880244639079657,3.0219643607943425,1.1485202301524147,2.631180785029195,537066,39.001226535874906,4590375.45000005,2615792.939999979,5157062.440000143,2566613.539999897,200868.7499999999,35378,69565,81074,748981.2899999991,103971,226921,274259
0004400001252,NBSC RTZ HS CRK  CHS 6CT,5.7 OZ,CKIE/CRACKER MLTI PK/SNGL SRV,N,58158.98000000721,15563,14339,11280,0.06213503242534295,5.1559379432630505,1.2711879432624114,4.0559997210410215,1.0853616012274216,3.737003148493684,1411,12.50886524822695,"","","","","","","","","","","","",39962.050000000025,7775.9500000000035,"","",4727.84,562,1066,1289,"","","",""
0003160402843,NTMD VIT C ADULT GUMMIES,80 CT,VITAMIN PRODUCTS,N,577399.0199997672,103244,65666,49233,0.2711962811522083,11.727886173903016,1.3337801880852274,8.792967745861894,1.572259616848902,5.592567316258254,9198,18.6825909450978,"","","","","","","","","","","","",400300.6000000003,149977.64999999994,"","",27150.00000000011,2037,2760,4371,"","","",""
0004400006464,NBSC SWTSVRY CKR MIX,20 OZ,CKIE/CRACKER MLTI PK/SNGL SRV,Y,"","","","","","","","","","","","",129296.57000001681,14636,14367,13414,0.0732660113325817,9.638927240198063,1.0710451766810796,8.999552446580136,1.0187234634927265,8.834146624762013,718,5.352616669151632,"","",83053.09000000005,30056.570000000014,"","","","",8730.859999999862,918,1029,1085
0009955515170,GRNMTN BRKFST BLND BIG PK,48 CT,COFFEE,Y,121401.58000000862,5668,5282,4570,0.025173501612040537,26.564897155362935,1.1557986870897154,22.984017417646463,1.0730783794017418,21.41876852505445,548,11.99124726477024,675461.7199998664,28570,27487,16306,0.08906184440055742,41.42412118237866,1.6856985158837239,24.573861097968727,1.039400443846182,23.642342317111183,4239,25.99656568134429,87381.71000000002,"",462701.2299999996,69673.74999999996,2696.9599999999955,94,108,115,39900.0900000003,1082,1601,1694
0001111082677,KRO LT STRING CHEESE,10 OZ,CHEESE,N,2477040.7100013033,748625,703158,394186,2.1713439620227155,6.283938825836796,1.7838228653478307,3.5227370093226607,1.064661143014799,3.308787056271569,107812,27.35054010035871,"","","","","","","","","","","","",1809752.1199999775,793557.9899999951,"","",195869.0200000002,20952,54007,59468,"","","",""
0003700054140,CHRMN SNSTVE BTH TS MG RL,6 ROLLS,BATH TISSUE,N,"","","","","","","","","","","","",1294324.1399995429,142937,130211,93310,0.5096504784138361,13.871226449464611,1.3954667238238132,9.9402058197813,1.0977336784142662,9.055207119217158,14063,15.07126781695424,"","",852082.9199999957,251363.64000000016,"","","","",83375.96000000005,5019,7956,9426
0001657194034,SPKLN ICE PEACH NECTARINE,17 FO,SPARKLING WATER,N,1792323.3599956573,1871718,1063929,480324,2.6458286626480874,3.731488245425291,2.215023609063882,1.6846268500958779,1.7592508522655177,0.9575819434314664,166842,34.73530367002273,2055011.089995035,2110130,1064973,482614,2.6359924551410905,4.258084286811064,2.20667655724865,1.9296367982991447,1.9813929555021583,0.9738789031931848,169044,35.026750156439725,1156641.4500000144,469531.52000000287,1279495.4500000116,484032.3500000019,69824.0399999999,11431,27388,72680,182004.3400000003,26244,65246,186456
